datetime,symbol,open,high,low,close,volume
2020-11-29 23:00:00,TRADENATION:SOLANA,1.909,1.999,1.909,1.967,0.0
2020-11-30 23:00:00,TRADENATION:SOLANA,1.967,2.131,1.943,1.978,0.0
2020-12-01 23:00:00,TRADENATION:SOLANA,1.978,2.168,1.972,2.116,0.0
2020-12-02 23:00:00,TRADENATION:SOLANA,2.116,2.21,2.082,2.096,0.0
2020-12-03 23:00:00,TRADENATION:SOLANA,2.096,2.108,1.857,1.857,0.0
2020-12-06 23:00:00,TRADENATION:SOLANA,1.85,1.892,1.818,1.827,0.0
2020-12-07 23:00:00,TRADENATION:SOLANA,1.827,1.827,1.675,1.682,0.0
2020-12-08 23:00:00,TRADENATION:SOLANA,1.682,1.682,1.532,1.666,0.0
2020-12-09 23:00:00,TRADENATION:SOLANA,1.666,1.666,1.556,1.58,0.0
2020-12-10 23:00:00,TRADENATION:SOLANA,1.58,1.58,1.449,1.449,0.0
2020-12-13 23:00:00,TRADENATION:SOLANA,1.566,1.614,1.528,1.594,0.0
2020-12-14 23:00:00,TRADENATION:SOLANA,1.594,1.785,1.592,1.755,0.0
2020-12-15 23:00:00,TRADENATION:SOLANA,1.755,1.785,1.636,1.785,0.0
2020-12-16 23:00:00,TRADENATION:SOLANA,1.785,1.791,1.664,1.676,0.0
2020-12-17 23:00:00,TRADENATION:SOLANA,1.676,1.7,1.647,1.696,0.0
2020-12-20 23:00:00,TRADENATION:SOLANA,1.564,1.614,1.43,1.54,0.0
2020-12-21 23:00:00,TRADENATION:SOLANA,1.54,1.569,1.48,1.493,0.0
2020-12-22 23:00:00,TRADENATION:SOLANA,1.493,1.501,1.139,1.199,0.0
2020-12-23 23:00:00,TRADENATION:SOLANA,1.199,1.38,1.199,1.358,0.0
2020-12-24 23:00:00,TRADENATION:SOLANA,1.358,1.447,1.352,1.443,0.0
2020-12-27 23:00:00,TRADENATION:SOLANA,1.306,1.515,1.306,1.515,0.0
2020-12-28 23:00:00,TRADENATION:SOLANA,1.515,1.7,1.445,1.673,0.0
2020-12-29 23:00:00,TRADENATION:SOLANA,1.673,1.673,1.534,1.534,0.0
2020-12-30 23:00:00,TRADENATION:SOLANA,1.534,1.546,1.437,1.514,0.0
2020-12-31 23:00:00,TRADENATION:SOLANA,1.514,1.837,1.507,1.837,0.0
2021-01-03 23:00:00,TRADENATION:SOLANA,2.161,2.489,1.945,2.489,0.0
2021-01-04 23:00:00,TRADENATION:SOLANA,2.489,2.489,2.093,2.155,0.0
2021-01-05 23:00:00,TRADENATION:SOLANA,2.155,2.165,1.934,1.934,0.0
2021-01-06 23:00:00,TRADENATION:SOLANA,1.934,2.412,1.934,2.359,0.0
2021-01-07 23:00:00,TRADENATION:SOLANA,2.359,3.889,2.184,3.889,0.0
2021-01-10 23:00:00,TRADENATION:SOLANA,3.053,3.154,2.616,3.107,0.0
2021-01-11 23:00:00,TRADENATION:SOLANA,3.107,3.831,3.088,3.631,0.0
2021-01-12 23:00:00,TRADENATION:SOLANA,3.631,3.631,3.313,3.517,0.0
2021-01-13 23:00:00,TRADENATION:SOLANA,3.517,3.543,3.208,3.284,0.0
2021-01-14 23:00:00,TRADENATION:SOLANA,3.284,3.425,3.0,3.3,0.0
2021-01-17 23:00:00,TRADENATION:SOLANA,3.827,4.111,3.02,3.784,0.0
2021-01-18 23:00:00,TRADENATION:SOLANA,3.784,3.996,3.622,3.647,0.0
2021-01-19 23:00:00,TRADENATION:SOLANA,3.647,3.726,3.382,3.723,0.0
2021-01-20 23:00:00,TRADENATION:SOLANA,3.723,3.723,2.985,2.985,0.0
2021-01-21 23:00:00,TRADENATION:SOLANA,2.985,3.485,2.661,3.339,0.0
2021-01-24 23:00:00,TRADENATION:SOLANA,3.624,3.953,3.473,3.72,0.0
2021-01-25 23:00:00,TRADENATION:SOLANA,3.72,4.062,3.714,4.037,0.0
2021-01-26 23:00:00,TRADENATION:SOLANA,4.037,4.037,3.652,3.688,0.0
2021-01-27 23:00:00,TRADENATION:SOLANA,3.688,3.907,3.62,3.819,0.0
2021-01-28 23:00:00,TRADENATION:SOLANA,3.819,3.871,3.638,3.842,0.0
2021-01-31 23:00:00,TRADENATION:SOLANA,4.268,4.622,4.128,4.622,0.0
2021-02-01 23:00:00,TRADENATION:SOLANA,4.622,5.335,4.489,5.257,0.0
2021-02-02 23:00:00,TRADENATION:SOLANA,5.257,5.77,5.097,5.719,0.0
2021-02-03 23:00:00,TRADENATION:SOLANA,5.722,6.511,5.61,6.42,0.0
2021-02-04 23:00:00,TRADENATION:SOLANA,6.421,7.077,4.848,6.5,0.0
2021-02-07 23:00:00,TRADENATION:SOLANA,6.704,8.039,6.498,7.879,0.0
2021-02-08 23:00:00,TRADENATION:SOLANA,7.879,8.444,7.654,7.836,0.0
2021-02-09 23:00:00,TRADENATION:SOLANA,7.836,9.06,7.557,8.95,0.0
2021-02-10 23:00:00,TRADENATION:SOLANA,8.95,10.1,8.875,9.185,0.0
2021-02-11 23:00:00,TRADENATION:SOLANA,9.185,9.914,9.08,9.21,0.0
2021-02-14 23:00:00,TRADENATION:SOLANA,8.735,9.29,7.904,8.846,0.0
2021-02-15 23:00:00,TRADENATION:SOLANA,8.846,8.899,8.081,8.3,0.0
2021-02-16 23:00:00,TRADENATION:SOLANA,8.3,8.41,7.634,8.236,0.0
2021-02-17 23:00:00,TRADENATION:SOLANA,8.236,9.17,8.236,8.984,0.0
2021-02-18 23:00:00,TRADENATION:SOLANA,8.984,11.499,8.644,11.444,0.0
2021-02-21 23:00:00,TRADENATION:SOLANA,11.074,14.512,9.78,14.512,0.0
2021-02-22 23:00:00,TRADENATION:SOLANA,14.512,16.11,12.003,15.089,0.0
2021-02-23 23:00:00,TRADENATION:SOLANA,15.089,20.0,14.0,17.167,0.0
2021-02-24 23:00:00,TRADENATION:SOLANA,17.167,17.616,14.0,14.0,0.0
2021-02-25 23:00:00,TRADENATION:SOLANA,14.0,15.352,13.368,13.576,0.0
2021-02-28 23:00:00,TRADENATION:SOLANA,13.063,15.378,13.063,14.983,0.0
2021-03-01 23:00:00,TRADENATION:SOLANA,14.983,15.182,13.522,13.974,0.0
2021-03-02 23:00:00,TRADENATION:SOLANA,13.975,14.562,13.846,14.131,0.0
2021-03-03 23:00:00,TRADENATION:SOLANA,14.131,14.142,12.806,13.112,0.0
2021-03-04 23:00:00,TRADENATION:SOLANA,13.112,13.112,12.218,12.572,0.0
2021-03-07 23:00:00,TRADENATION:SOLANA,13.791,13.837,13.072,13.598,0.0
2021-03-08 23:00:00,TRADENATION:SOLANA,13.598,14.973,13.361,14.86,0.0
2021-03-09 23:00:00,TRADENATION:SOLANA,14.86,14.86,14.134,14.235,0.0
2021-03-10 23:00:00,TRADENATION:SOLANA,14.235,16.339,13.74,15.987,0.0
2021-03-11 23:00:00,TRADENATION:SOLANA,15.987,16.454,14.36,14.552,0.0
2021-03-14 22:00:00,TRADENATION:SOLANA,14.555,14.7,13.808,14.28,0.0
2021-03-15 22:00:00,TRADENATION:SOLANA,14.28,14.28,13.3,13.805,0.0
2021-03-16 22:00:00,TRADENATION:SOLANA,13.805,14.2,13.367,13.99,0.0
2021-03-17 22:00:00,TRADENATION:SOLANA,13.99,14.703,13.99,14.328,0.0
2021-03-18 22:00:00,TRADENATION:SOLANA,14.328,14.437,14.034,14.287,0.0
2021-03-21 22:00:00,TRADENATION:SOLANA,14.18,16.54,14.18,14.888,0.0
