symbol,open,high,low,close,volume,year,month,day
MARKETSCOM:RIPPLE,0.3356,0.352,0.2987,0.345,0.0,2023,1,1
MARKETSCOM:RIPPLE,0.345,0.3488,0.3379,0.3406,0.0,2023,1,2
MARKETSCOM:RIPPLE,0.3406,0.3492,0.339,0.3442,0.0,2023,1,3
MARKETSCOM:RIPPLE,0.3442,0.3455,0.3311,0.3349,0.0,2023,1,4
MARKETSCOM:RIPPLE,0.3349,0.3428,0.3281,0.3414,0.0,2023,1,6
MARKETSCOM:RIPPLE,0.3421,0.3544,0.3406,0.3459,0.0,2023,1,8
MARKETSCOM:RIPPLE,0.3459,0.3512,0.3401,0.3478,0.0,2023,1,9
MARKETSCOM:RIPPLE,0.3478,0.3753,0.3448,0.3699,0.0,2023,1,10
MARKETSCOM:RIPPLE,0.3699,0.3781,0.3577,0.3718,0.0,2023,1,11
MARKETSCOM:RIPPLE,0.3718,0.3839,0.3656,0.3829,0.0,2023,1,13
MARKETSCOM:RIPPLE,0.3818,0.4035,0.3748,0.3826,0.0,2023,1,15
MARKETSCOM:RIPPLE,0.3826,0.3958,0.3762,0.3839,0.0,2023,1,16
MARKETSCOM:RIPPLE,0.3839,0.3933,0.3642,0.3751,0.0,2023,1,17
MARKETSCOM:RIPPLE,0.3751,0.3933,0.3736,0.3899,0.0,2023,1,18
MARKETSCOM:RIPPLE,0.3899,0.4109,0.383,0.41,0.0,2023,1,20
MARKETSCOM:RIPPLE,0.3976,0.43,0.3967,0.4204,0.0,2023,1,22
MARKETSCOM:RIPPLE,0.4204,0.4281,0.4002,0.4049,0.0,2023,1,23
MARKETSCOM:RIPPLE,0.4049,0.4215,0.3947,0.414,0.0,2023,1,24
MARKETSCOM:RIPPLE,0.414,0.415,0.4024,0.4063,0.0,2023,1,25
MARKETSCOM:RIPPLE,0.4063,0.4106,0.3961,0.4099,0.0,2023,1,27
MARKETSCOM:RIPPLE,0.4105,0.419,0.3834,0.3904,0.0,2023,1,29
MARKETSCOM:RIPPLE,0.3904,0.4084,0.3851,0.4029,0.0,2023,1,30
MARKETSCOM:RIPPLE,0.4028,0.4124,0.3937,0.4105,0.0,2023,1,31
MARKETSCOM:RIPPLE,0.4105,0.416,0.4055,0.4068,0.0,2023,2,1
MARKETSCOM:RIPPLE,0.4069,0.4106,0.4026,0.4088,0.0,2023,2,3
MARKETSCOM:RIPPLE,0.3957,0.4007,0.3881,0.3891,0.0,2023,2,5
MARKETSCOM:RIPPLE,0.3891,0.4019,0.3873,0.4008,0.0,2023,2,6
MARKETSCOM:RIPPLE,0.4008,0.403,0.3909,0.3947,0.0,2023,2,7
MARKETSCOM:RIPPLE,0.3947,0.4058,0.37,0.3788,0.0,2023,2,8
MARKETSCOM:RIPPLE,0.3788,0.3848,0.3743,0.379,0.0,2023,2,10
MARKETSCOM:RIPPLE,0.3718,0.3755,0.3589,0.3676,0.0,2023,2,12
MARKETSCOM:RIPPLE,0.3676,0.3808,0.3619,0.3791,0.0,2023,2,13
MARKETSCOM:RIPPLE,0.3791,0.3995,0.3737,0.3982,0.0,2023,2,14
MARKETSCOM:RIPPLE,0.3982,0.4015,0.3813,0.3813,0.0,2023,2,15
MARKETSCOM:RIPPLE,0.3813,0.397,0.3784,0.3921,0.0,2023,2,17
MARKETSCOM:RIPPLE,0.3832,0.4056,0.3748,0.3954,0.0,2023,2,19
MARKETSCOM:RIPPLE,0.3954,0.3992,0.3846,0.389,0.0,2023,2,20
MARKETSCOM:RIPPLE,0.389,0.3945,0.3801,0.3924,0.0,2023,2,21
