symbol,open,high,low,close,volume,year,month,day
MARKETSCOM:RIPPLE,0.8524,0.8616,0.8203,0.8274,0.0,2022,1,2
MARKETSCOM:RIPPLE,0.8274,0.8444,0.8145,0.8282,0.0,2022,1,3
MARKETSCOM:RIPPLE,0.8282,0.836,0.7792,0.7899,0.0,2022,1,4
MARKETSCOM:RIPPLE,0.7899,0.7941,0.7089,0.7827,0.0,2022,1,5
MARKETSCOM:RIPPLE,0.7827,0.7849,0.7282,0.7671,0.0,2022,1,7
MARKETSCOM:RIPPLE,0.7602,0.7624,0.6997,0.7342,0.0,2022,1,9
MARKETSCOM:RIPPLE,0.7342,0.772,0.7294,0.7649,0.0,2022,1,10
MARKETSCOM:RIPPLE,0.7649,0.8069,0.756,0.7954,0.0,2022,1,11
MARKETSCOM:RIPPLE,0.7954,0.8017,0.76,0.7703,0.0,2022,1,12
MARKETSCOM:RIPPLE,0.7703,0.7893,0.7509,0.7783,0.0,2022,1,14
MARKETSCOM:RIPPLE,0.7759,0.7804,0.7486,0.7522,0.0,2022,1,16
MARKETSCOM:RIPPLE,0.7522,0.7682,0.7347,0.7551,0.0,2022,1,17
MARKETSCOM:RIPPLE,0.7551,0.7588,0.7225,0.7391,0.0,2022,1,18
MARKETSCOM:RIPPLE,0.7391,0.7614,0.7309,0.7309,0.0,2022,1,19
MARKETSCOM:RIPPLE,0.731,0.7358,0.6119,0.6315,0.0,2022,1,21
MARKETSCOM:RIPPLE,0.6024,0.6345,0.5537,0.6107,0.0,2022,1,23
MARKETSCOM:RIPPLE,0.6107,0.6179,0.5865,0.6047,0.0,2022,1,24
MARKETSCOM:RIPPLE,0.6047,0.659,0.6047,0.6061,0.0,2022,1,25
MARKETSCOM:RIPPLE,0.6061,0.6243,0.5885,0.5958,0.0,2022,1,26
MARKETSCOM:RIPPLE,0.5958,0.6133,0.5902,0.6078,0.0,2022,1,28
MARKETSCOM:RIPPLE,0.6013,0.6107,0.5798,0.6078,0.0,2022,1,30
MARKETSCOM:RIPPLE,0.6078,0.6292,0.6073,0.6252,0.0,2022,1,31
MARKETSCOM:RIPPLE,0.6251,0.631,0.5945,0.6007,0.0,2022,2,1
MARKETSCOM:RIPPLE,0.6007,0.6071,0.5882,0.6056,0.0,2022,2,2
MARKETSCOM:RIPPLE,0.6056,0.6414,0.6019,0.638,0.0,2022,2,4
MARKETSCOM:RIPPLE,0.6732,0.8045,0.67,0.8011,0.0,2022,2,6
MARKETSCOM:RIPPLE,0.8011,0.9132,0.801,0.8427,0.0,2022,2,7
MARKETSCOM:RIPPLE,0.8428,0.9155,0.8246,0.8905,0.0,2022,2,8
MARKETSCOM:RIPPLE,0.8905,0.8988,0.8356,0.8393,0.0,2022,2,9
MARKETSCOM:RIPPLE,0.8393,0.8465,0.7642,0.7735,0.0,2022,2,11
MARKETSCOM:RIPPLE,0.8078,0.8166,0.7782,0.797,0.0,2022,2,13
MARKETSCOM:RIPPLE,0.7972,0.8385,0.7952,0.8272,0.0,2022,2,14
MARKETSCOM:RIPPLE,0.8272,0.8588,0.8069,0.8416,0.0,2022,2,15
MARKETSCOM:RIPPLE,0.8416,0.8462,0.7525,0.7713,0.0,2022,2,16
MARKETSCOM:RIPPLE,0.7713,0.8039,0.755,0.7721,0.0,2022,2,18
MARKETSCOM:RIPPLE,0.7745,0.8007,0.7138,0.7174,0.0,2022,2,20
MARKETSCOM:RIPPLE,0.7174,0.733,0.6666,0.7072,0.0,2022,2,21
MARKETSCOM:RIPPLE,0.7072,0.7428,0.6971,0.6999,0.0,2022,2,22
MARKETSCOM:RIPPLE,0.6999,0.7215,0.6202,0.7015,0.0,2022,2,23
MARKETSCOM:RIPPLE,0.7015,0.7395,0.6734,0.7326,0.0,2022,2,25
MARKETSCOM:RIPPLE,0.72,0.776,0.7063,0.7667,0.0,2022,2,27
MARKETSCOM:RIPPLE,0.7667,0.8028,0.7566,0.7815,0.0,2022,2,28
MARKETSCOM:RIPPLE,0.7815,0.7882,0.7555,0.774,0.0,2022,3,1
MARKETSCOM:RIPPLE,0.774,0.7891,0.7325,0.7464,0.0,2022,3,2
MARKETSCOM:RIPPLE,0.7465,0.7584,0.7072,0.7167,0.0,2022,3,4
MARKETSCOM:RIPPLE,0.7433,0.753,0.7021,0.7191,0.0,2022,3,6
MARKETSCOM:RIPPLE,0.7191,0.7302,0.7127,0.7177,0.0,2022,3,7
MARKETSCOM:RIPPLE,0.7177,0.7742,0.7166,0.7619,0.0,2022,3,8
MARKETSCOM:RIPPLE,0.7619,0.7789,0.7204,0.7375,0.0,2022,3,9
MARKETSCOM:RIPPLE,0.7373,0.8128,0.724,0.8078,0.0,2022,3,11
MARKETSCOM:RIPPLE,0.7864,0.7885,0.7441,0.7599,0.0,2022,3,13
