symbol,open,high,low,close,volume,year,month,day
COINBASE:SHIBUSD,1.034e-05,1.071e-05,1.022e-05,1.068e-05,489941489848.0,2024,1,1
COINBASE:SHIBUSD,1.068e-05,1.092e-05,1.045e-05,1.057e-05,1289300399483.0,2024,1,2
COINBASE:SHIBUSD,1.057e-05,1.066e-05,8.53e-06,9.58e-06,2338873193762.0,2024,1,3
COINBASE:SHIBUSD,9.58e-06,1.015e-05,9.42e-06,1e-05,1088249667128.0,2024,1,4
COINBASE:SHIBUSD,1.001e-05,1.01e-05,9.43e-06,9.83e-06,1758791662641.0,2024,1,5
COINBASE:SHIBUSD,9.83e-06,9.84e-06,9.35e-06,9.61e-06,543976549922.0,2024,1,6
COINBASE:SHIBUSD,9.62e-06,9.69e-06,8.95e-06,9.04e-06,738066147443.0,2024,1,7
COINBASE:SHIBUSD,9.04e-06,9.6e-06,8.5e-06,9.59e-06,1795465230925.0,2024,1,8
COINBASE:SHIBUSD,9.59e-06,1.001e-05,9.04e-06,9.67e-06,2496770015554.0,2024,1,9
COINBASE:SHIBUSD,9.67e-06,1.017e-05,9.12e-06,9.98e-06,1562163256082.0,2024,1,10
COINBASE:SHIBUSD,9.98e-06,1.051e-05,9.86e-06,1.014e-05,1639315406110.0,2024,1,11
COINBASE:SHIBUSD,1.014e-05,1.03e-05,9.31e-06,9.63e-06,1459125226408.0,2024,1,12
COINBASE:SHIBUSD,9.64e-06,1.007e-05,9.42e-06,9.88e-06,679160212210.0,2024,1,13
COINBASE:SHIBUSD,9.88e-06,1.005e-05,9.53e-06,9.57e-06,531166025242.0,2024,1,14
COINBASE:SHIBUSD,9.56e-06,9.76e-06,9.48e-06,9.54e-06,498579023367.0,2024,1,15
COINBASE:SHIBUSD,9.53e-06,9.74e-06,9.41e-06,9.66e-06,542021805897.0,2024,1,16
COINBASE:SHIBUSD,9.67e-06,9.72e-06,9.38e-06,9.52e-06,670255178789.0,2024,1,17
COINBASE:SHIBUSD,9.51e-06,9.56e-06,8.94e-06,9.2e-06,909415503689.0,2024,1,18
COINBASE:SHIBUSD,9.21e-06,9.39e-06,8.78e-06,9.3e-06,1159183063847.0,2024,1,19
COINBASE:SHIBUSD,9.3e-06,9.84e-06,9.27e-06,9.68e-06,986297560337.0,2024,1,20
COINBASE:SHIBUSD,9.67e-06,9.73e-06,9.32e-06,9.34e-06,584215960396.0,2024,1,21
COINBASE:SHIBUSD,9.33e-06,9.37e-06,8.86e-06,8.92e-06,1270357601540.0,2024,1,22
COINBASE:SHIBUSD,8.91e-06,9.06e-06,8.43e-06,8.84e-06,1067047233220.0,2024,1,23
COINBASE:SHIBUSD,8.83e-06,8.99e-06,8.74e-06,8.89e-06,655112188410.0,2024,1,24
COINBASE:SHIBUSD,8.89e-06,8.92e-06,8.72e-06,8.86e-06,415072956589.0,2024,1,25
COINBASE:SHIBUSD,8.86e-06,9.13e-06,8.78e-06,9.04e-06,464905845771.0,2024,1,26
COINBASE:SHIBUSD,9.04e-06,9.22e-06,8.98e-06,9.12e-06,330157510024.0,2024,1,27
COINBASE:SHIBUSD,9.12e-06,9.25e-06,8.91e-06,9e-06,459239886614.0,2024,1,28
COINBASE:SHIBUSD,9.01e-06,9.27e-06,8.92e-06,9.21e-06,644788539126.0,2024,1,29
COINBASE:SHIBUSD,9.2e-06,9.67e-06,9.01e-06,9.05e-06,1026080043404.0,2024,1,30
COINBASE:SHIBUSD,9.04e-06,9.14e-06,8.84e-06,8.95e-06,567826512015.0,2024,1,31
COINBASE:SHIBUSD,8.94e-06,9.05e-06,8.78e-06,9.04e-06,643484479565.0,2024,2,1
COINBASE:SHIBUSD,9.03e-06,9.1e-06,8.92e-06,9.08e-06,432890308425.0,2024,2,2
COINBASE:SHIBUSD,9.08e-06,9.16e-06,9.01e-06,9.1e-06,263908801131.0,2024,2,3
COINBASE:SHIBUSD,9.1e-06,9.14e-06,8.85e-06,8.89e-06,487892981082.0,2024,2,4
COINBASE:SHIBUSD,8.89e-06,9.03e-06,8.78e-06,8.9e-06,459798519934.0,2024,2,5
COINBASE:SHIBUSD,8.89e-06,8.94e-06,8.77e-06,8.87e-06,562795419989.0,2024,2,6
