symbol,open,high,low,close,volume,year,month,day
MARKETSCOM:RIPPLE,2.3167,2.4474,2.2944,2.3828,0.0,2025,1,1
MARKETSCOM:RIPPLE,2.4499,2.452,2.4488,2.4489,0.0,2025,1,3
MARKETSCOM:RIPPLE,2.3882,2.4554,2.3647,2.4106,0.0,2025,1,5
MARKETSCOM:RIPPLE,2.4106,2.4652,2.2548,2.2668,0.0,2025,1,6
MARKETSCOM:RIPPLE,2.2668,2.3731,2.1985,2.3367,0.0,2025,1,7
MARKETSCOM:RIPPLE,2.3367,2.3954,2.2327,2.2629,0.0,2025,1,8
MARKETSCOM:RIPPLE,2.3369,2.3416,2.3367,2.3416,0.0,2025,1,10
MARKETSCOM:RIPPLE,2.5163,2.56,2.3298,2.5296,0.0,2025,1,12
MARKETSCOM:RIPPLE,2.5296,2.6963,2.511,2.6681,0.0,2025,1,13
MARKETSCOM:RIPPLE,2.6679,3.0617,2.6473,3.0438,0.0,2025,1,14
MARKETSCOM:RIPPLE,3.0438,3.3963,2.9231,3.2887,0.0,2025,1,15
MARKETSCOM:RIPPLE,3.2761,3.2761,3.2698,3.2737,0.0,2025,1,17
MARKETSCOM:RIPPLE,3.0608,3.3644,2.8287,3.0719,0.0,2025,1,19
MARKETSCOM:RIPPLE,3.0719,3.2369,3.0101,3.181,0.0,2025,1,20
MARKETSCOM:RIPPLE,3.181,3.2824,3.1309,3.1666,0.0,2025,1,21
MARKETSCOM:RIPPLE,3.1666,3.192,3.0342,3.0763,0.0,2025,1,22
MARKETSCOM:RIPPLE,3.1057,3.1058,3.1022,3.1034,0.0,2025,1,24
MARKETSCOM:RIPPLE,3.0936,3.0957,2.656,3.011,0.0,2025,1,26
MARKETSCOM:RIPPLE,3.011,3.2113,3.0006,3.0141,0.0,2025,1,27
MARKETSCOM:RIPPLE,3.0135,3.1256,3.0106,3.0358,0.0,2025,1,28
